ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
8184,"U-D7-7",98562,"Hero Factory Weapon, Handcuff",Used,2,0.10,0.20
310,"U-O2",2570,"Minifigure, Weapon Crossbow",Used,1,0.20,0.20
18257,"U-P10",93789,"Minifigure, Weapon Pike / Spear - Handle with Flat End",Used,1,0.20,0.20
18396,"U-P11",2570,"Minifigure, Weapon Crossbow",Used,1,0.20,0.20
18297,"U-P9",93789,"Minifigure, Weapon Pike / Spear - Handle with Flat End",Used,1,0.20,0.20
9861,"U-303-11",3626pb1303,"Minifigure, Head Alien with Blue Eyes and Mouth and Silver Plates Pattern",Used,1,0.19,0.19
25163,"U-309-7",30171,"Minifigure, Headgear Cap, Aviator",Used,1,0.19,0.19
9862,"U-B9",3626pb1303,"Minifigure, Head Alien with Blue Eyes and Mouth and Silver Plates Pattern",Used,1,0.19,0.19
9863,"U-J20",3626pb1303,"Minifigure, Head Alien with Blue Eyes and Mouth and Silver Plates Pattern",Used,1,0.19,0.19
9864,"U-N19",3626pb1303,"Minifigure, Head Alien with Blue Eyes and Mouth and Silver Plates Pattern",Used,1,0.19,0.19
12428,"N-C25",64567,"Minifigure, Weapon Lightsaber Hilt Straight",New,2,0.09,0.18
14857,"U-A17-1",41889,"Torso with Head Mechanical, Super Battle Droid - Wide Head",Used,1,0.18,0.18
22982,"U-BIO-AA-3",92206,"Hero Factory Weapon, Claw",Used,2,0.09,0.18
7736,"U-BIO-F",92215,"Hero Factory Weapon Accessory, Machinery Armor",Used,2,0.09,0.18
8190,"U-BIO-OS1",98563,"Hero Factory Weapon, Zamor Sphere Launcher Top Half with Barrel and Sight",Used,2,0.09,0.18
15169,"U-J21",41889,"Torso with Head Mechanical, Super Battle Droid - Wide Head",Used,1,0.18,0.18
15182,"U-J28",41889,"Torso with Head Mechanical, Super Battle Droid - Wide Head",Used,1,0.18,0.18
9676,"U-O3",20252,"Bionicle Weapon Claw - Bent and Notched with Clip",Used,2,0.09,0.18
23916,"U-R5",41889,"Torso with Head Mechanical, Super Battle Droid - Wide Head",Used,1,0.18,0.18
24203,"U-R9",37776,"Minifigure, Utensil Lantern",Used,1,0.17,0.17
14867,"U-BIO-A9",90650,"Hero Factory Shoulder Armor",Used,2,0.08,0.16
18285,"U-P9",11598,"Container, Faceted 4 x 4 x 3, Alien Pod Section",Used,1,0.16,0.16
7714,"U-BIO-J",90661,"Hero Factory Foot with Ball Socket",Used,3,0.05,0.15
24740,"U-323",53564,"Bionicle Piraka Torso with 2 Ball Joint",Used,1,0.15,0.15
24752,"U-323",53564,"Bionicle Piraka Torso with 2 Ball Joint",Used,1,0.15,0.15
10294,"U-B8",973pb2201,"Torso Batman Logo with Body Armor and Gold Belt Pattern",Used,1,0.15,0.15
15935,"U-BIO-E",98578,"Hero Factory Weapon, Spiked Ball Half with Axle Hole",Used,1,0.15,0.15
8504,"U-D2-3",98592,"Hero Factory Shoulder / Knee Armor",Used,1,0.15,0.15
10293,"U-J22",973pb2201,"Torso Batman Logo with Body Armor and Gold Belt Pattern",Used,1,0.15,0.15
10389,"U-K32",24246,"Tile, Round 1 x 1 Half Circle Extended",Used,1,0.15,0.15
25062,"U-309-5",24135,"Minifigure Breathing Apparatus, Scuba Regulator",Used,1,0.14,0.14
9021,"U-BIO-A9",98603pb008,"Large Figure Chest Armor Small with Chi and Gold (Lion) Pattern",Used,1,0.14,0.14
8996,"U-BIO-OS1",11338,"Hero Factory Weapon, Axe / Sword with Jagged Blade",Used,1,0.14,0.14
8995,"U-BIO-S",11338,"Hero Factory Weapon, Axe / Sword with Jagged Blade",Used,1,0.14,0.14
8348,"U-L1-1",98374,"Minifigure, Utensil Pot Small with Handle Holders",Used,1,0.14,0.14
5098,"U-BIO-OS1",44140,"Bionicle Rahkshi Back Cover with Groove",Used,1,0.13,0.13
